Freq.	I(Ldrive)
1.31522483219223e+003	3.08997731678153e-003,4.88395827016493e-002
1.31825673855640e+003	3.10929198896573e-003,4.89929569262622e-002
1.32129563418657e+003	3.12875500088308e-003,4.91470323848438e-002
1.32434153519466e+003	3.14836779886575e-003,4.93018140077004e-002
1.32739445772973e+003	3.16813184687394e-003,4.94573067728681e-002
1.33045441797808e+003	3.18804862675504e-003,4.96135157066892e-002
1.33352143216332e+003	3.20811963850698e-003,4.97704458843972e-002
1.33659551654643e+003	3.22834640054594e-003,4.99281024307087e-002
1.33967668742593e+003	3.24873044997980e-003,5.00864905204247e-002
1.34276496113786e+003	3.26927334288451e-003,5.02456153790419e-002
1.34586035405594e+003	3.28997665458701e-003,5.04054822833711e-002
1.34896288259165e+003	3.31084197995183e-003,5.05660965621645e-002
1.35207256319427e+003	3.33187093367314e-003,5.07274635967529e-002
1.35518941235103e+003	3.35306515057253e-003,5.08895888216932e-002
1.35831344658715e+003	3.37442628590063e-003,5.10524777254233e-002
1.36144468246594e+003	3.39595601564529e-003,5.12161358509277e-002
1.36458313658892e+003	3.41765603684396e-003,5.13805687964134e-002
1.36772882559584e+003	3.43952806790385e-003,5.15457822159950e-002
1.37088176616484e+003	3.46157384892400e-003,5.17117818203879e-002
1.37404197501251e+003	3.48379514202728e-003,5.18785733776183e-002
1.37720946889394e+003	3.50619373169494e-003,5.20461627137353e-002
1.38038426460288e+003	3.52877142510909e-003,5.22145557135399e-002
1.38356637897177e+003	3.55153005250075e-003,5.23837583213227e-002
1.38675582887188e+003	3.57447146750361e-003,5.25537765416108e-002
1.38995263121334e+003	3.59759754751449e-003,5.27246164399294e-002
1.39315680294529e+003	3.62091019406123e-003,5.28962841435731e-002
1.39636836105593e+003	3.64441133317542e-003,5.30687858423879e-002
1.39958732257261e+003	3.66810291577311e-003,5.32421277895665e-002
1.40281370456195e+003	3.69198691804285e-003,5.34163163024552e-002
1.40604752412990e+003	3.71606534183835e-003,5.35913577633727e-002
1.40928879842186e+003	3.74034021508246e-003,5.37672586204421e-002
1.41253754462274e+003	3.76481359217350e-003,5.39440253884334e-002
1.41579377995707e+003	3.78948755440379e-003,5.41216646496234e-002
1.41905752168908e+003	3.81436421038240e-003,5.43001830546632e-002
1.42232878712281e+003	3.83944569646747e-003,5.44795873234633e-002
1.42560759360218e+003	3.86473417720590e-003,5.46598842460899e-002
1.42889395851109e+003	3.89023184578157e-003,5.48410806836764e-002
1.43218789927353e+003	3.91594092447117e-003,5.50231835693486e-002
1.43548943335364e+003	3.94186366510968e-003,5.52061999091632e-002
1.43879857825583e+003	3.96800234956296e-003,5.53901367830631e-002
1.44211535152486e+003	3.99435929021106e-003,5.55750013458446e-002
1.44543977074592e+003	4.02093683043873e-003,5.57608008281436e-002
1.44877185354475e+003	4.04773734513647e-003,5.59475425374328e-002
1.45211161758773e+003	4.07476324121038e-003,5.61352338590379e-002
1.45545908058195e+003	4.10201695810185e-003,5.63238822571684e-002
1.45881426027534e+003	4.12950096831772e-003,5.65134952759662e-002
1.46217717445671e+003	4.15721777796880e-003,5.67040805405659e-002
1.46554784095590e+003	4.18516992732077e-003,5.68956457581798e-002
1.46892627764385e+003	4.21335999135394e-003,5.70881987191930e-002
1.47231250243271e+003	4.24179058033483e-003,5.72817472982799e-002
1.47570653327588e+003	4.27046434039819e-003,5.74762994555367e-002
1.47910838816819e+003	4.29938395414002e-003,5.76718632376342e-002
1.48251808514594e+003	4.32855214122292e-003,5.78684467789844e-002
1.48593564228699e+003	4.35797165899238e-003,5.80660583029339e-002
1.48936107771090e+003	4.38764530310496e-003,5.82647061229665e-002
1.49279440957898e+003	4.41757590816974e-003,5.84643986439347e-002
1.49623565609442e+003	4.44776634840095e-003,5.86651443633045e-002
1.49968483550236e+003	4.47821953828459e-003,5.88669518724245e-002
1.50314196609001e+003	4.50893843325670e-003,5.90698298578111e-002
1.50660706618673e+003	4.53992603039718e-003,5.92737871024616e-002
1.51008015416413e+003	4.57118536913461e-003,5.94788324871829e-002
1.51356124843619e+003	4.60271953196757e-003,5.96849749919419e-002
1.51705036745932e+003	4.63453164519843e-003,5.98922236972445e-002
